contig_111	9784	85	0
contig_112	24853	3794	0
contig_113	4036	19	0
contig_114	51767	3436	0
contig_120	49291	7631	0
contig_121	76867	16904	0
contig_130	75822	5108	0
contig_131	8573	7847	0
contig_146	5026	64	0
contig_148	12483	8476	0
contig_17	135268	6090	0
contig_202	26295	5893	0
contig_203	15247	140	0
contig_247	2603	22991	0
contig_26	20474	173	0
contig_275	5830	5516	0
contig_292	5563	51	0
contig_297	23121	2634	0
contig_310	2575	19711	0
contig_349	5020	2945	0
contig_35	2923	19178	0
contig_365	3196	21153	0
contig_368	2649	10747	0
contig_373	2693	17158	0
contig_38	7319	3333	0
contig_381	2696	17379	0
contig_395	2762	18232	0
contig_439	3463	5503	0
contig_44	29714	4165	0
contig_447	2592	17534	0
contig_455	6413	4612	0
contig_46	129813	7353	0
contig_465	2728	17990	0
contig_47	206050	17623	0
contig_470	2770	14262	0
contig_481	8789	83	0
contig_482	5861	56	0
contig_486	18622	156	0
contig_487	3877	4531	0
contig_488	49566	11028	0
contig_498	20850	2602	0
contig_499	23574	5915	0
contig_501	11989	9999	0
contig_503	58255	2436	0
contig_504	4053	54	0
contig_508	4084	47	0
contig_509	3439	2084	0
contig_510	16301	4110	0
contig_521	14826	6589	0
contig_542	8668	2919	0
contig_563	65366	2866	0
contig_68	158938	11100	0
contig_69	138870	11784	0
contig_81	68430	5494	0
contig_88	17964	3985	0
contig_89	87358	17611	0
contig_95	125205	12478	0
*	0	0	5531416
