contig_104	38744	1084	0
contig_109	6920	5892	0
contig_116	2930	77	0
contig_124	15430	454	0
contig_13	33376	973	0
contig_134	24922	1160	0
contig_135	68974	2238	0
contig_137	5001	169	0
contig_138	6143	171	0
contig_141	19653	660	0
contig_143	3466	101	0
contig_147	3892	143	0
contig_152	4578	3429	0
contig_160	42319	1477	0
contig_161	58380	2253	0
contig_162	47350	1858	0
contig_163	21460	772	0
contig_166	4958	513	0
contig_172	6638	165	0
contig_178	40730	4661	0
contig_182	5952	202	0
contig_184	7427	252	0
contig_185	7265	297	0
contig_186	8211	4016	0
contig_189	20763	621	0
contig_190	8845	317	0
contig_191	15858	467	0
contig_192	3057	123	0
contig_193	21127	752	0
contig_194	5509	173	0
contig_195	3021	94	0
contig_197	41627	5951	0
contig_198	32054	1176	0
contig_201	76884	7790	0
contig_208	6315	4405	0
contig_213	23363	649	0
contig_219	3181	112	0
contig_22	18883	7287	0
contig_222	57642	6551	0
contig_227	5596	153	0
contig_231	90361	3194	0
contig_239	6668	4024	0
contig_240	30279	8401	0
contig_250	4678	143	0
contig_255	10703	309	0
contig_256	18057	453	0
contig_257	6009	203	0
contig_259	16183	462	0
contig_264	4231	158	0
contig_267	15475	663	0
contig_268	5823	157	0
contig_269	36778	1000	0
contig_276	5649	175	0
contig_277	28648	937	0
contig_278	23880	781	0
contig_279	5605	268	0
contig_282	4833	4986	0
contig_283	20059	617	0
contig_284	6353	159	0
contig_285	9078	248	0
contig_286	9156	282	0
contig_288	13651	3717	0
contig_289	3196	4262	0
contig_290	4213	3961	0
contig_291	3769	4332	0
contig_293	13961	424	0
contig_294	10225	315	0
contig_296	2901	93	0
contig_299	29147	7302	0
contig_301	7812	230	0
contig_302	6505	234	0
contig_303	6560	9962	0
contig_304	8550	229	0
contig_305	21527	549	0
contig_307	9163	338	0
contig_308	15823	5290	0
contig_309	3504	108	0
contig_312	7268	223	0
contig_313	6648	3585	0
contig_314	5239	150	0
contig_318	13225	466	0
contig_320	16624	455	0
contig_321	14153	409	0
contig_324	7901	3776	0
contig_325	11684	3999	0
contig_326	11547	4455	0
contig_327	6819	195	0
contig_328	6571	207	0
contig_329	16836	507	0
contig_330	11401	403	0
contig_331	7420	5654	0
contig_337	7785	4718	0
contig_338	8588	287	0
contig_339	13521	466	0
contig_340	15034	487	0
contig_341	38930	1210	0
