COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	143	269	53.159851301115246
D	36	54	66.66666666666666
E	250	454	55.06607929515418
F	59	113	52.21238938053098
G	195	373	52.27882037533512
H	121	222	54.5045045045045
I	135	241	56.016597510373444
J	110	226	48.67256637168141
K	155	320	48.4375
L	96	155	61.935483870967744
M	160	253	63.24110671936759
N	37	51	72.54901960784314
No Annotation	18	40	45.0
O	102	196	52.04081632653062
P	116	212	54.71698113207547
Q	52	89	58.42696629213483
R	185	365	50.68493150684932
S	94	229	41.04803493449782
T	167	259	64.47876447876449
U	40	71	56.33802816901409
V	44	77	57.14285714285714
W	14	20	70.0
X	12	29	41.37931034482759
