COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	198	243	81.48148148148148
D	36	46	78.26086956521739
E	392	455	86.15384615384616
F	98	108	90.74074074074075
G	291	333	87.38738738738738
H	199	230	86.52173913043478
I	164	191	85.86387434554975
J	189	243	77.77777777777779
K	290	378	76.71957671957672
L	103	127	81.10236220472441
M	199	220	90.45454545454545
N	49	65	75.38461538461539
No Annotation	30	49	61.224489795918366
O	147	188	78.19148936170212
P	237	281	84.34163701067615
Q	100	116	86.20689655172413
R	272	334	81.437125748503
S	127	174	72.98850574712644
T	306	345	88.69565217391305
U	56	61	91.80327868852459
V	83	104	79.8076923076923
W	10	12	83.33333333333334
X	46	51	90.19607843137256
Z	3	4	75.0
