COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	162	261	62.06896551724138
D	29	43	67.44186046511628
E	279	450	62.0
F	69	112	61.60714285714286
G	214	373	57.37265415549599
H	144	221	65.15837104072398
I	143	239	59.83263598326359
J	116	224	51.78571428571429
K	151	300	50.33333333333333
L	90	137	65.69343065693431
M	169	241	70.12448132780082
N	36	48	75.0
No Annotation	20	37	54.054054054054056
O	91	175	52.0
P	104	180	57.77777777777777
Q	51	87	58.620689655172406
R	208	358	58.10055865921788
S	99	217	45.622119815668206
T	170	243	69.95884773662551
U	40	57	70.17543859649122
V	45	74	60.810810810810814
W	12	19	63.1578947368421
X	10	23	43.47826086956522
