COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	190	279	68.10035842293907
D	42	71	59.154929577464785
E	256	359	71.3091922005571
F	54	89	60.67415730337079
G	139	198	70.2020202020202
H	132	213	61.97183098591549
I	217	317	68.45425867507886
J	124	214	57.943925233644855
K	162	290	55.86206896551724
L	101	162	62.34567901234568
M	180	266	67.66917293233082
N	63	93	67.74193548387096
No Annotation	36	56	64.28571428571429
O	123	203	60.591133004926114
P	145	221	65.61085972850678
Q	82	126	65.07936507936508
R	196	318	61.63522012578616
S	74	144	51.388888888888886
T	276	401	68.82793017456359
U	53	86	61.627906976744185
V	57	107	53.271028037383175
W	33	51	64.70588235294117
X	73	123	59.34959349593496
Z	2	4	50.0
