COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	201	243	82.71604938271605
D	38	46	82.6086956521739
E	395	455	86.81318681318682
F	97	108	89.81481481481481
G	287	333	86.18618618618619
H	199	230	86.52173913043478
I	163	191	85.34031413612566
J	191	243	78.60082304526749
K	292	378	77.24867724867724
L	104	126	82.53968253968253
M	200	220	90.9090909090909
N	52	65	80.0
No Annotation	31	49	63.26530612244898
O	147	188	78.19148936170212
P	239	281	85.05338078291815
Q	98	116	84.48275862068965
R	270	334	80.83832335329342
S	122	174	70.11494252873564
T	307	345	88.98550724637681
U	54	61	88.52459016393442
V	81	104	77.88461538461539
W	9	12	75.0
X	47	51	92.15686274509804
Z	3	4	75.0
