COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	1.0	170	0.5882352941176471
D	0.0	21	0.0
E	4.0	134	2.9850746268656714
F	0.0	58	0.0
G	0.0	69	0.0
H	1.0	149	0.6711409395973155
I	0.0	50	0.0
J	1.0	180	0.5555555555555556
K	0.0	37	0.0
L	2.0	77	2.5974025974025974
M	1.0	113	0.8849557522123894
N	0.0	5	0.0
No Annotation	2.0	607	0.3294892915980231
O	2.0	97	2.0618556701030926
P	0.0	60	0.0
Q	0.0	18	0.0
R	2.0	118	1.694915254237288
S	0.0	50	0.0
T	0.0	47	0.0
U	1.0	17	5.88235294117647
V	0.0	25	0.0
W	0.0	2	0.0
X	0.0	2	0.0
Z	0.0	2	0.0
