COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	216	279	77.41935483870968
D	49	71	69.01408450704226
E	282	359	78.55153203342618
F	64	90	71.11111111111111
G	155	199	77.88944723618091
H	155	215	72.09302325581395
I	236	317	74.44794952681389
J	155	248	62.5
K	186	295	63.05084745762712
L	122	163	74.84662576687117
M	190	265	71.69811320754717
N	66	93	70.96774193548387
No Annotation	39	56	69.64285714285714
O	142	203	69.95073891625616
P	159	224	70.98214285714286
Q	89	126	70.63492063492063
R	224	318	70.44025157232704
S	81	144	56.25
T	305	408	74.75490196078431
U	58	88	65.9090909090909
V	69	107	64.48598130841121
W	33	51	64.70588235294117
X	83	121	68.59504132231406
Z	2	4	50.0
