COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	141	279	50.53763440860215
D	33	69	47.82608695652174
E	176	358	49.162011173184354
F	41	89	46.06741573033708
G	90	199	45.22613065326633
H	94	215	43.72093023255814
I	152	316	48.10126582278481
J	97	249	38.95582329317269
K	109	294	37.07482993197279
L	68	162	41.9753086419753
M	125	265	47.16981132075472
N	32	93	34.40860215053764
No Annotation	29	56	51.78571428571429
O	91	203	44.827586206896555
P	114	220	51.81818181818182
Q	50	126	39.682539682539684
R	137	317	43.217665615141954
S	46	144	31.944444444444443
T	209	403	51.86104218362283
U	41	88	46.590909090909086
V	50	107	46.728971962616825
W	22	51	43.13725490196079
X	58	122	47.540983606557376
Z	2	4	50.0
