COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
B	1	1	100.0
C	93	166	56.024096385542165
D	33	50	66.0
E	124	193	64.24870466321244
F	35	61	57.377049180327866
G	64	96	66.66666666666666
H	102	155	65.80645161290323
I	110	193	56.994818652849744
J	108	209	51.674641148325364
K	72	142	50.70422535211267
L	90	136	66.17647058823529
M	139	209	66.50717703349282
N	27	48	56.25
No Annotation	18	56	32.142857142857146
O	83	147	56.4625850340136
P	97	141	68.79432624113475
Q	38	67	56.71641791044776
R	119	187	63.63636363636363
S	71	143	49.65034965034965
T	140	190	73.68421052631578
U	39	69	56.52173913043478
V	46	65	70.76923076923077
W	14	19	73.68421052631578
X	20	34	58.82352941176471
Z	1	3	33.33333333333333
