COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	85.0	166	51.204819277108435
D	17.0	20	85.0
E	83.0	126	65.87301587301587
F	36.0	57	63.1578947368421
G	50.0	68	73.52941176470588
H	105.0	160	65.625
I	29.0	48	60.416666666666664
J	97.0	180	53.888888888888886
K	22.0	40	55.00000000000001
L	45.0	70	64.28571428571429
M	67.0	108	62.03703703703704
N	3.0	5	60.0
No Annotation	124.0	586	21.160409556313994
O	63.0	99	63.63636363636363
P	39.0	60	65.0
Q	10.0	18	55.55555555555556
R	66.0	107	61.6822429906542
S	26.0	47	55.319148936170215
T	28.0	46	60.86956521739131
U	8.0	16	50.0
V	18.0	23	78.26086956521739
W	0.0	2	0.0
X	1.0	1	100.0
Z	2.0	2	100.0
