COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	218	237	91.9831223628692
D	54	57	94.73684210526315
E	265	277	95.66787003610109
F	87	91	95.6043956043956
G	187	197	94.9238578680203
H	180	199	90.45226130653266
I	157	174	90.22988505747126
J	223	255	87.45098039215686
K	240	278	86.33093525179856
L	141	150	94.0
M	263	282	93.26241134751773
N	96	105	91.42857142857143
No Annotation	54	69	78.26086956521739
O	194	215	90.23255813953487
P	201	218	92.20183486238533
Q	49	54	90.74074074074075
R	253	280	90.35714285714286
S	120	162	74.07407407407408
T	446	473	94.29175475687104
U	82	86	95.34883720930233
V	107	121	88.42975206611571
W	43	48	89.58333333333334
X	117	128	91.40625
Z	3	3	100.0
