COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	205	275	74.54545454545455
D	41	63	65.07936507936508
E	263	337	78.04154302670622
F	59	89	66.29213483146067
G	144	198	72.72727272727273
H	129	197	65.48223350253807
I	210	302	69.5364238410596
J	130	204	63.725490196078425
K	155	280	55.35714285714286
L	105	147	71.42857142857143
M	168	247	68.0161943319838
N	58	81	71.60493827160494
No Annotation	33	55	60.0
O	124	196	63.26530612244898
P	138	212	65.09433962264151
Q	81	124	65.32258064516128
R	209	309	67.63754045307444
S	72	140	51.42857142857142
T	286	392	72.95918367346938
U	54	83	65.06024096385542
V	60	101	59.4059405940594
W	27	39	69.23076923076923
X	61	102	59.80392156862745
Z	2	4	50.0
