COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	15.0	172	8.720930232558139
D	1.0	30	3.3333333333333335
E	12.0	134	8.955223880597014
F	5.0	64	7.8125
G	14.0	77	18.181818181818183
H	7.0	164	4.2682926829268295
I	1.0	55	1.8181818181818181
J	18.0	185	9.72972972972973
K	3.0	39	7.6923076923076925
L	3.0	83	3.614457831325301
M	4.0	107	3.7383177570093453
N	0.0	9	0.0
No Annotation	6.0	703	0.8534850640113799
O	5.0	121	4.132231404958678
P	1.0	60	1.6666666666666667
Q	2.0	19	10.526315789473683
R	1.0	121	0.8264462809917356
S	5.0	56	8.928571428571429
T	3.0	57	5.263157894736842
U	1.0	19	5.263157894736842
V	0.0	26	0.0
W	0.0	6	0.0
X	0.0	1	0.0
Z	1.0	3	33.33333333333333
