COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	33.0	164	20.121951219512198
D	10.0	20	50.0
E	36.0	123	29.268292682926827
F	17.0	57	29.82456140350877
G	28.0	67	41.7910447761194
H	54.0	159	33.9622641509434
I	19.0	48	39.58333333333333
J	33.0	178	18.53932584269663
K	8.0	41	19.51219512195122
L	24.0	71	33.80281690140845
M	26.0	107	24.299065420560748
N	1.0	5	20.0
No Annotation	60.0	590	10.16949152542373
O	28.0	101	27.722772277227726
P	23.0	60	38.333333333333336
Q	6.0	18	33.33333333333333
R	38.0	105	36.19047619047619
S	10.0	46	21.73913043478261
T	9.0	47	19.148936170212767
U	6.0	16	37.5
V	7.0	23	30.434782608695656
W	0.0	2	0.0
X	1.0	1	100.0
Z	1.0	2	50.0
