COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	0.0	1	0.0
C	136.0	288	47.22222222222222
D	38.0	75	50.66666666666667
E	158.0	358	44.134078212290504
F	35.0	91	38.46153846153847
G	95.0	199	47.73869346733669
H	93.0	217	42.857142857142854
I	158.0	316	50.0
J	89.0	254	35.039370078740156
K	108.0	300	36.0
L	91.0	177	51.41242937853108
M	129.0	266	48.49624060150376
N	46.0	94	48.93617021276596
No Annotation	25.0	67	37.3134328358209
O	84.0	210	40.0
P	86.0	231	37.22943722943723
Q	61.0	126	48.41269841269841
R	139.0	325	42.769230769230774
S	45.0	147	30.612244897959183
T	212.0	433	48.96073903002309
U	38.0	92	41.30434782608695
V	44.0	112	39.285714285714285
W	20.0	51	39.21568627450981
X	48.0	139	34.53237410071942
Z	1.0	4	25.0
