COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	86.0	167	51.49700598802395
D	17.0	20	85.0
E	83.0	126	65.87301587301587
F	36.0	55	65.45454545454545
G	50.0	68	73.52941176470588
H	104.0	161	64.59627329192547
I	29.0	49	59.183673469387756
J	97.0	180	53.888888888888886
K	22.0	40	55.00000000000001
L	45.0	70	64.28571428571429
M	67.0	108	62.03703703703704
N	3.0	5	60.0
No Annotation	127.0	585	21.70940170940171
O	63.0	98	64.28571428571429
P	39.0	60	65.0
Q	10.0	19	52.63157894736842
R	65.0	107	60.747663551401864
S	26.0	47	55.319148936170215
T	29.0	46	63.04347826086957
U	8.0	16	50.0
V	17.0	23	73.91304347826086
W	0.0	2	0.0
X	1.0	1	100.0
Z	2.0	2	100.0
