COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	136	269	50.55762081784386
D	32	54	59.25925925925925
E	256	453	56.5121412803532
F	58	112	51.78571428571429
G	204	373	54.6916890080429
H	126	222	56.75675675675676
I	132	242	54.54545454545454
J	112	227	49.33920704845815
K	152	318	47.79874213836478
L	99	152	65.13157894736842
M	160	250	64.0
N	37	52	71.15384615384616
No Annotation	20	40	50.0
O	105	195	53.84615384615385
P	118	210	56.19047619047619
Q	48	89	53.93258426966292
R	191	366	52.18579234972678
S	93	229	40.61135371179039
T	172	261	65.90038314176245
U	42	71	59.154929577464785
V	38	77	49.35064935064935
W	13	20	65.0
X	14	31	45.16129032258064
