COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	86.0	167	51.49700598802395
D	16.0	20	80.0
E	84.0	126	66.66666666666666
F	36.0	55	65.45454545454545
G	50.0	68	73.52941176470588
H	105.0	160	65.625
I	28.0	49	57.14285714285714
J	96.0	180	53.333333333333336
K	22.0	40	55.00000000000001
L	46.0	70	65.71428571428571
M	68.0	108	62.96296296296296
N	3.0	5	60.0
No Annotation	127.0	585	21.70940170940171
O	64.0	98	65.3061224489796
P	39.0	60	65.0
Q	10.0	18	55.55555555555556
R	66.0	107	61.6822429906542
S	26.0	46	56.52173913043478
T	28.0	46	60.86956521739131
U	8.0	16	50.0
V	18.0	23	78.26086956521739
W	0.0	2	0.0
X	1.0	1	100.0
Z	2.0	2	100.0
