COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	86.0	166	51.80722891566265
D	17.0	20	85.0
E	85.0	125	68.0
F	36.0	55	65.45454545454545
G	50.0	68	73.52941176470588
H	104.0	159	65.40880503144653
I	29.0	48	60.416666666666664
J	96.0	180	53.333333333333336
K	22.0	40	55.00000000000001
L	47.0	70	67.14285714285714
M	66.0	107	61.6822429906542
N	3.0	5	60.0
No Annotation	128.0	586	21.843003412969285
O	64.0	98	65.3061224489796
P	39.0	60	65.0
Q	10.0	18	55.55555555555556
R	66.0	106	62.264150943396224
S	26.0	46	56.52173913043478
T	29.0	46	63.04347826086957
U	8.0	16	50.0
V	18.0	23	78.26086956521739
W	0.0	2	0.0
X	1.0	1	100.0
Z	2.0	2	100.0
