COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	83.0	176	47.159090909090914
D	16.0	19	84.21052631578947
E	85.0	128	66.40625
F	33.0	58	56.896551724137936
G	47.0	68	69.11764705882352
H	100.0	162	61.72839506172839
I	29.0	48	60.416666666666664
J	97.0	197	49.23857868020304
K	19.0	40	47.5
L	45.0	71	63.38028169014085
M	57.0	92	61.95652173913043
N	3.0	4	75.0
No Annotation	126.0	594	21.21212121212121
O	65.0	107	60.747663551401864
P	39.0	60	65.0
Q	10.0	18	55.55555555555556
R	67.0	113	59.29203539823009
S	26.0	49	53.06122448979592
T	26.0	48	54.166666666666664
U	7.0	17	41.17647058823529
V	18.0	23	78.26086956521739
W	0.0	1	0.0
X	1.0	1	100.0
Z	2.0	2	100.0
