COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
B	1	1	100.0
C	95	166	57.22891566265061
D	32	50	64.0
E	129	196	65.81632653061224
F	36	61	59.01639344262295
G	67	96	69.79166666666666
H	101	155	65.16129032258064
I	118	193	61.13989637305699
J	113	210	53.80952380952381
K	73	142	51.40845070422535
L	94	136	69.11764705882352
M	140	209	66.98564593301435
N	30	48	62.5
No Annotation	18	57	31.57894736842105
O	81	148	54.729729729729726
P	91	141	64.53900709219859
Q	38	67	56.71641791044776
R	116	187	62.03208556149733
S	71	142	50.0
T	135	190	71.05263157894737
U	46	69	66.66666666666666
V	49	65	75.38461538461539
W	14	19	73.68421052631578
X	21	34	61.76470588235294
Z	1	3	33.33333333333333
