COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	217	280	77.5
D	48	69	69.56521739130434
E	286	359	79.66573816155989
F	63	89	70.78651685393258
G	157	199	78.89447236180904
H	153	215	71.16279069767441
I	243	316	76.89873417721519
J	159	248	64.11290322580645
K	188	296	63.51351351351351
L	121	163	74.23312883435584
M	196	266	73.68421052631578
N	63	93	67.74193548387096
No Annotation	36	56	64.28571428571429
O	142	203	69.95073891625616
P	157	225	69.77777777777779
Q	87	126	69.04761904761905
R	227	317	71.60883280757098
S	83	144	57.638888888888886
T	313	403	77.66749379652606
U	59	88	67.04545454545455
V	68	107	63.55140186915887
W	33	51	64.70588235294117
X	83	121	68.59504132231406
Z	2	4	50.0
