COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	200	243	82.3045267489712
D	38	46	82.6086956521739
E	399	455	87.6923076923077
F	99	108	91.66666666666666
G	292	333	87.68768768768768
H	202	230	87.82608695652175
I	168	191	87.95811518324608
J	192	243	79.01234567901234
K	288	379	75.98944591029023
L	107	127	84.25196850393701
M	201	220	91.36363636363637
N	53	66	80.3030303030303
No Annotation	31	50	62.0
O	148	188	78.72340425531915
P	236	281	83.98576512455516
Q	98	116	84.48275862068965
R	275	334	82.33532934131736
S	125	174	71.83908045977012
T	300	342	87.71929824561403
U	56	61	91.80327868852459
V	82	104	78.84615384615384
W	10	12	83.33333333333334
X	46	50	92.0
Z	3	4	75.0
