COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	86.0	166	51.80722891566265
D	16.0	20	80.0
E	85.0	126	67.46031746031747
F	36.0	55	65.45454545454545
G	50.0	68	73.52941176470588
H	105.0	160	65.625
I	28.0	48	58.333333333333336
J	97.0	180	53.888888888888886
K	22.0	40	55.00000000000001
L	46.0	70	65.71428571428571
M	68.0	109	62.38532110091744
N	3.0	5	60.0
No Annotation	126.0	586	21.501706484641637
O	64.0	99	64.64646464646465
P	39.0	60	65.0
Q	10.0	18	55.55555555555556
R	66.0	107	61.6822429906542
S	26.0	46	56.52173913043478
T	29.0	46	63.04347826086957
U	8.0	16	50.0
V	17.0	23	73.91304347826086
W	0.0	2	0.0
X	1.0	1	100.0
Z	2.0	2	100.0
