COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	158	260	60.76923076923077
D	26	42	61.904761904761905
E	270	447	60.40268456375839
F	64	112	57.14285714285714
G	216	373	57.9088471849866
H	126	219	57.534246575342465
I	148	240	61.66666666666667
J	122	224	54.46428571428571
K	160	301	53.156146179402
L	94	135	69.62962962962963
M	158	241	65.56016597510373
N	36	48	75.0
No Annotation	19	37	51.35135135135135
O	97	174	55.74712643678161
P	105	181	58.011049723756905
Q	58	87	66.66666666666666
R	195	358	54.46927374301676
S	95	217	43.77880184331797
T	176	244	72.1311475409836
U	36	57	63.1578947368421
V	48	73	65.75342465753424
W	9	19	47.368421052631575
X	10	22	45.45454545454545
