COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	91	244	37.295081967213115
D	19	46	41.30434782608695
E	203	457	44.42013129102845
F	40	109	36.69724770642202
G	158	334	47.30538922155689
H	105	230	45.65217391304348
I	80	192	41.66666666666667
J	100	243	41.1522633744856
K	133	378	35.18518518518518
L	58	127	45.66929133858268
M	110	220	50.0
N	19	65	29.230769230769234
No Annotation	17	49	34.69387755102041
O	78	189	41.269841269841265
P	116	281	41.281138790035584
Q	63	116	54.310344827586206
R	133	335	39.701492537313435
S	60	175	34.285714285714285
T	147	346	42.48554913294797
U	25	61	40.98360655737705
V	40	104	38.46153846153847
W	2	12	16.666666666666664
X	24	51	47.05882352941176
Z	1	4	25.0
