COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	200	243	82.3045267489712
D	38	46	82.6086956521739
E	395	455	86.81318681318682
F	97	108	89.81481481481481
G	292	333	87.68768768768768
H	203	230	88.26086956521739
I	165	191	86.38743455497382
J	193	243	79.42386831275721
K	288	379	75.98944591029023
L	105	127	82.67716535433071
M	199	220	90.45454545454545
N	53	66	80.3030303030303
No Annotation	31	50	62.0
O	147	188	78.19148936170212
P	238	281	84.69750889679716
Q	100	116	86.20689655172413
R	274	334	82.03592814371258
S	126	174	72.41379310344827
T	302	342	88.30409356725146
U	55	61	90.1639344262295
V	83	104	79.8076923076923
W	9	12	75.0
X	45	50	90.0
Z	3	4	75.0
